latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.627415,-122.17464,179.0,-25200,America/Los_Angeles,GMT-7

time,temperature_2m_mean (°C),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (km/h)
2002-01-01,3.7,0.00,13.50,13.50,0.00,20.0
2002-01-02,6.2,15400.08,1.50,1.50,0.00,19.3
2002-01-03,5.6,28625.04,0.20,0.20,0.00,17.7
2002-01-04,5.9,20470.34,0.00,0.00,0.00,13.7
2002-01-05,5.1,1035.30,4.40,4.40,0.00,21.6
2002-01-06,6.6,3038.04,22.40,22.40,0.00,30.9
2002-01-07,10.3,0.00,29.30,29.30,0.00,30.3
2002-01-08,7.9,14509.92,11.50,11.50,0.00,25.2
2002-01-09,6.4,20538.59,0.90,0.90,0.00,8.3
2002-01-10,5.1,12803.59,0.20,0.20,0.00,12.8
2002-01-11,6.2,1400.03,0.50,0.50,0.00,17.8
2002-01-12,5.0,25166.62,11.20,11.20,0.00,32.5
2002-01-13,2.3,0.00,0.40,0.40,0.00,10.6
2002-01-14,2.4,27594.40,0.00,0.00,0.00,13.4
2002-01-15,1.1,30119.76,0.00,0.00,0.00,8.0
2002-01-16,1.2,13024.97,2.10,1.80,0.21,16.5
2002-01-17,0.3,22331.40,0.00,0.00,0.00,10.0
2002-01-18,2.0,392.82,9.30,9.30,0.00,18.4
2002-01-19,2.9,16649.46,11.20,11.20,0.00,24.5
2002-01-20,3.5,15151.41,14.00,14.00,0.00,30.2
2002-01-21,1.8,25713.11,5.50,5.10,0.28,17.9
2002-01-22,1.4,26600.91,2.90,2.00,0.63,17.1
2002-01-23,1.9,364.61,6.20,6.10,0.07,28.9
2002-01-24,4.5,0.00,30.80,30.80,0.00,32.6
2002-01-25,2.9,3270.38,22.40,21.30,0.77,30.6
2002-01-26,0.8,16565.54,1.90,1.00,0.63,24.2
2002-01-27,0.0,25506.01,3.10,1.50,1.26,20.1
2002-01-28,-1.9,32286.27,0.00,0.00,0.00,13.6
